,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
109,within a few hours,100%,92%,t,1.0,1.0,t,Amager Vest,55.63514,12.58297,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1275.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,t,12.0,12.0,19.0,26.0,60.0,13.0,1.0,26,17.0,78.0,99450.0,4.87,4.85,4.82,4.92,4.97,4.88,4.77,f,1.0,1.0,0.0,0.0,4.65,Copenhagen,Entire Standard,Entire,Standard,1
111,within a few hours,100%,46%,f,2.0,3.0,t,Nørrebro,55.68596,12.55768,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,900.0,3,30.0,3.0,7.0,30.0,30.0,3.2,30.0,t,2.0,4.0,4.0,22.0,62.0,5.0,1.0,22,4.0,30.0,27000.0,4.9,4.9,4.87,4.97,4.95,4.89,4.8,f,2.0,1.0,1.0,0.0,1.28,Copenhagen,Entire Standard,Entire,Standard,1
114,within a few hours,100%,100%,f,1.0,1.0,f,Nørrebro,55.69286,12.56578,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,4.0,1305.0,6,30.0,4.0,6.0,30.0,30.0,6.0,30.0,t,4.0,6.0,6.0,6.0,30.0,2.0,0.0,6,2.0,24.0,31320.0,4.87,4.9,4.83,4.9,4.9,4.72,4.66,f,1.0,1.0,0.0,0.0,1.87,Copenhagen,Entire Standard,Entire,Standard,1
115,within an hour,100%,100%,t,3.0,3.0,t,Indre By,55.69067,12.57576,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,4.0,2074.0,4,31.0,3.0,5.0,31.0,31.0,4.1,31.0,t,7.0,12.0,12.0,19.0,102.0,12.0,2.0,19,11.0,96.0,199104.0,4.87,4.84,4.7,4.92,4.98,4.86,4.78,f,1.0,1.0,0.0,0.0,1.69,Copenhagen,Entire Standard,Entire,Standard,1
116,a few days or more,11%,6%,f,2.0,3.0,t,Vesterbro-Kongens Enghave,55.66679,12.54815,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,813.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,5.0,9.0,15.0,287.0,45.0,3.0,0.0,109,1.0,18.0,14634.0,4.65,4.73,4.61,4.84,4.86,4.77,4.61,f,2.0,2.0,0.0,0.0,1.63,Copenhagen,Entire Standard,Entire,Standard,1
117,within a day,89%,75%,f,2.0,2.0,t,Amager Vest,55.6628,12.57609,Entire Standard,Entire home/apt,6.0,2.0,2 baths,4.0,5.0,5973.0,5,30.0,5.0,5.0,30.0,30.0,5.0,30.0,t,23.0,23.0,23.0,30.0,17.0,0.0,0.0,30,0.0,0.0,0.0,4.94,5.0,4.81,5.0,5.0,4.81,4.69,f,1.0,1.0,0.0,0.0,1.56,Copenhagen,Entire Standard,Entire,Standard,1
118,within an hour,100%,100%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66084,12.54185,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,431.0,3,31.0,3.0,3.0,31.0,31.0,3.0,31.0,t,6.0,8.0,11.0,60.0,105.0,7.0,0.0,60,0.0,42.0,18102.0,4.64,4.71,4.72,4.84,4.88,4.33,4.68,f,1.0,0.0,1.0,0.0,2.37,Copenhagen,Hotel,Hotel,Hotel,1
119,within a few hours,100%,75%,f,1.0,1.0,f,Vesterbro-Kongens Enghave,55.66327,12.54898,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1008.0,6,14.0,6.0,6.0,14.0,14.0,6.0,14.0,t,27.0,57.0,87.0,177.0,17.0,3.0,1.0,177,3.0,36.0,36288.0,4.65,4.76,4.71,4.88,4.88,4.94,4.65,f,1.0,1.0,0.0,0.0,1.87,Copenhagen,Entire Standard,Entire,Standard,1
120,within a day,100%,75%,f,1.0,1.0,t,Indre By,55.67007,12.59399,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2127.0,2,10.0,1.0,2.0,10.0,10.0,2.0,10.0,t,0.0,2.0,2.0,148.0,42.0,2.0,0.0,2,5.0,12.0,25524.0,4.79,4.9,4.93,4.88,4.9,4.9,4.68,f,1.0,1.0,0.0,0.0,1.74,Copenhagen,Entire Standard,Entire,Standard,1
124,within a few hours,100%,96%,t,2.0,3.0,t,Indre By,55.6827,12.57309,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,3230.0,3,20.0,3.0,3.0,20.0,20.0,3.0,20.0,t,9.0,16.0,35.0,38.0,100.0,9.0,2.0,38,7.0,54.0,174420.0,4.93,4.95,4.95,4.97,4.99,4.97,4.82,f,2.0,1.0,1.0,0.0,0.79,Copenhagen,Entire Standard,Entire,Standard,1
126,within an hour,100%,100%,f,2.0,2.0,t,Frederiksberg,55.67918,12.50768,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,511.0,2,6.0,2.0,2.0,6.0,6.0,2.0,6.0,t,0.0,2.0,26.0,26.0,128.0,4.0,0.0,26,4.0,24.0,12264.0,4.88,4.92,4.98,4.95,4.95,4.72,4.87,f,2.0,1.0,1.0,0.0,3.82,Copenhagen,Hotel,Hotel,Hotel,1
129,within a few hours,97%,37%,f,1.0,9.0,t,Vesterbro-Kongens Enghave,55.66379,12.54419,Hotel,Private room,1.0,1.0,1 private bath,1.0,1.0,535.0,1,3.0,1.0,1.0,3.0,3.0,1.0,3.0,t,4.0,6.0,6.0,6.0,90.0,18.0,4.0,6,20.0,108.0,57780.0,4.66,4.82,4.82,4.82,4.81,4.79,4.58,f,1.0,0.0,1.0,0.0,2.04,Copenhagen,Hotel,Hotel,Hotel,1
133,within a few hours,100%,94%,t,2.0,4.0,t,Indre By,55.6879,12.5892,Hotel,Private room,2.0,1.0,1 private bath,2.0,2.0,950.0,2,1125.0,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,1.0,1.0,2.0,3.0,142.0,11.0,3.0,3,11.0,66.0,62700.0,4.84,4.84,4.78,4.92,4.91,4.98,4.67,f,2.0,1.0,1.0,0.0,1.85,Copenhagen,Hotel,Hotel,Hotel,1
135,within an hour,100%,100%,f,1.0,1.0,t,Amager Øst,55.64982,12.61352,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1895.0,3,10.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,23.0,45.0,75.0,350.0,6.0,1.0,1.0,168,0.0,6.0,11370.0,4.83,4.83,4.83,4.83,5.0,4.67,4.33,f,1.0,1.0,0.0,0.0,4.07,Copenhagen,Entire Standard,Entire,Standard,1
137,within a day,100%,88%,f,2.0,3.0,t,Frederiksberg,55.68332,12.54934,Entire Luxury,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1723.0,3,7.0,3.0,3.0,7.0,7.0,3.0,7.0,t,4.0,6.0,6.0,13.0,61.0,4.0,2.0,13,2.0,24.0,41352.0,4.88,4.95,4.62,4.98,4.97,4.85,4.75,f,1.0,1.0,0.0,0.0,1.43,Copenhagen,Entire Luxury,Entire,Luxury,1
140,within an hour,100%,0%,f,1.0,1.0,t,Valby,55.66619,12.52085,Entire Standard,Entire home/apt,5.0,1.5,1.5 baths,3.0,5.0,1150.0,21,28.0,21.0,21.0,28.0,28.0,21.0,28.0,t,0.0,1.0,1.0,211.0,6.0,0.0,0.0,34,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.67,5.0,f,1.0,1.0,0.0,0.0,3.17,Copenhagen,Entire Standard,Entire,Standard,1
141,within a day,100%,92%,t,2.0,2.0,t,Nørrebro,55.69747,12.55197,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1418.0,3,20.0,3.0,3.0,20.0,20.0,3.0,20.0,t,9.0,10.0,11.0,189.0,127.0,9.0,0.0,11,9.0,54.0,76572.0,4.54,4.69,4.21,4.73,4.7,4.64,4.58,f,1.0,1.0,0.0,0.0,2.59,Copenhagen,Entire Standard,Entire,Standard,1
142,within a day,100%,33%,f,1.0,1.0,t,Vanløse,55.69608,12.49629,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,984.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,1.0,1.0,1.0,127.0,16.0,1.0,0.0,22,1.0,8.0,7872.0,4.88,4.88,4.75,4.94,5.0,4.63,4.75,f,1.0,1.0,0.0,0.0,5.03,Copenhagen,Entire Standard,Entire,Standard,1
143,within an hour,100%,100%,t,2.0,2.0,t,Vesterbro-Kongens Enghave,55.66793,12.54609,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,1612.0,4,30.0,3.0,4.0,30.0,30.0,4.0,30.0,t,0.0,2.0,8.0,16.0,54.0,1.0,0.0,16,4.0,8.0,12896.0,4.91,4.94,4.7,4.94,5.0,4.83,4.8,f,1.0,1.0,0.0,0.0,1.66,Copenhagen,Entire Standard,Entire,Standard,1
144,within an hour,100%,100%,f,1.0,2.0,t,Nørrebro,55.69244,12.54121,Entire Standard,Entire home/apt,3.0,1.5,1.5 baths,2.0,2.0,1161.0,5,83.0,5.0,5.0,83.0,83.0,5.0,83.0,t,2.0,2.0,11.0,221.0,2.0,0.0,0.0,70,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,1.0,1.0,0.0,0.0,2.49,Copenhagen,Entire Standard,Entire,Standard,1
146,a few days or more,40%,8%,f,1.0,3.0,t,Brønshøj-Husum,55.70394,12.48354,Entire Standard,Entire home/apt,12.0,2.5,2.5 baths,5.0,5.0,1044.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,4.0,4.0,4.0,22.0,17.0,1.0,0.0,13,1.0,6.0,6264.0,4.44,4.5,4.31,5.0,4.94,4.56,4.13,f,1.0,1.0,0.0,0.0,6.15,Copenhagen,Entire Standard,Entire,Standard,1
148,within a few hours,100%,80%,f,1.0,2.0,t,Amager Øst,55.65286,12.62752,Entire Standard,Entire home/apt,8.0,1.0,1 bath,3.0,3.0,1800.0,5,14.0,3.0,5.0,14.0,14.0,5.0,14.0,t,2.0,4.0,4.0,69.0,21.0,3.0,0.0,4,3.0,30.0,54000.0,4.57,4.57,4.14,4.71,4.71,4.86,4.48,f,1.0,1.0,0.0,0.0,4.52,Copenhagen,Entire Standard,Entire,Standard,1
149,within an hour,100%,100%,f,1.0,1.0,t,Amager Øst,55.64746,12.61986,Entire Luxury,Entire home/apt,5.0,1.0,1 bath,3.0,4.0,1158.0,2,30.0,1.0,3.0,1125.0,1125.0,2.1,1125.0,t,1.0,3.0,15.0,194.0,51.0,17.0,5.0,74,10.0,102.0,118116.0,4.78,4.92,4.67,4.78,4.98,4.88,4.75,t,1.0,1.0,0.0,0.0,4.54,Copenhagen,Entire Luxury,Entire,Luxury,1
150,within a few hours,100%,94%,t,2.0,4.0,t,Indre By,55.68789,12.59094,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,2500.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0.0,0.0,0.0,177.0,13.0,0.0,0.0,0,0.0,0.0,0.0,4.91,4.77,4.77,5.0,4.92,5.0,4.54,f,2.0,1.0,1.0,0.0,1.93,Copenhagen,Entire Standard,Entire,Standard,1
151,within a few hours,100%,69%,f,1.0,1.0,t,Frederiksberg,55.68448,12.51957,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,698.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,0.0,2.0,5.0,85.0,40.0,6.0,0.0,85,6.0,36.0,25128.0,4.68,4.9,4.48,4.9,4.88,4.78,4.8,f,1.0,1.0,0.0,0.0,3.19,Copenhagen,Entire Standard,Entire,Standard,1
152,within an hour,100%,100%,f,2.0,2.0,t,Brønshøj-Husum,55.71164,12.5059,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,413.0,3,180.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,22.0,33.0,60.0,335.0,58.0,16.0,5.0,155,10.0,96.0,39648.0,4.86,4.88,4.9,4.95,4.97,4.72,4.86,t,2.0,0.0,2.0,0.0,5.56,Copenhagen,Hotel,Hotel,Hotel,1
153,within an hour,100%,100%,f,2.0,2.0,t,Brønshøj-Husum,55.71088,12.50751,Hotel,Private room,2.0,1.0,1 shared bath,1.0,2.0,468.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,6.0,20.0,48.0,323.0,65.0,15.0,3.0,143,15.0,90.0,42120.0,4.78,4.85,4.8,4.92,4.94,4.6,4.82,f,2.0,0.0,2.0,0.0,5.43,Copenhagen,Hotel,Hotel,Hotel,1
154,within a few hours,67%,25%,f,1.0,1.0,t,Valby,55.66744,12.493,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,4.0,1200.0,4,1125.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,24.0,32.0,56.0,331.0,22.0,1.0,0.0,152,1.0,8.0,9600.0,4.55,4.68,4.73,4.68,4.68,4.64,4.41,f,1.0,1.0,0.0,0.0,4.82,Copenhagen,Entire Standard,Entire,Standard,1
155,within a few hours,89%,46%,f,1.0,1.0,t,Nørrebro,55.68992,12.56523,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1121.0,4,28.0,4.0,4.0,28.0,28.0,4.0,28.0,t,8.0,8.0,8.0,8.0,45.0,8.0,0.0,8,5.0,64.0,71744.0,4.91,4.96,4.82,4.96,4.89,4.96,4.73,f,1.0,1.0,0.0,0.0,1.55,Copenhagen,Entire Standard,Entire,Standard,1
156,within an hour,100%,100%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66945,12.5499,Entire Standard,Entire home/apt,8.0,1.0,1 bath,3.0,4.0,1276.0,4,16.0,2.0,5.0,1125.0,1125.0,4.7,1125.0,t,11.0,11.0,11.0,11.0,28.0,2.0,0.0,11,1.0,16.0,20416.0,4.75,4.79,4.46,4.85,4.86,4.85,4.89,t,1.0,1.0,0.0,0.0,1.37,Copenhagen,Entire Standard,Entire,Standard,1
159,within an hour,100%,59%,f,1.0,1.0,t,Amager Øst,55.65266,12.63972,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,6.0,4000.0,3,10.0,3.0,3.0,10.0,10.0,3.0,10.0,t,23.0,44.0,67.0,342.0,47.0,2.0,1.0,162,3.0,12.0,48000.0,4.85,4.89,4.41,4.86,4.93,4.86,4.68,f,1.0,1.0,0.0,0.0,5.18,Copenhagen,Entire Standard,Entire,Standard,1
160,within a few hours,100%,0%,f,1.0,1.0,t,Østerbro,55.70466,12.58439,Entire Standard,Entire home/apt,5.0,2.0,2 baths,4.0,5.0,1000.0,5,60.0,5.0,5.0,60.0,60.0,5.0,60.0,t,3.0,3.0,3.0,189.0,7.0,0.0,0.0,15,0.0,0.0,0.0,4.29,4.0,3.86,4.86,4.71,4.86,4.14,f,1.0,1.0,0.0,0.0,3.33,Copenhagen,Entire Standard,Entire,Standard,1
161,within a few hours,100%,33%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66607,12.55027,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,1400.0,4,1125.0,4.0,12.0,1125.0,1125.0,4.7,1125.0,t,5.0,5.0,6.0,43.0,27.0,3.0,0.0,27,5.0,24.0,33600.0,4.92,5.0,4.78,5.0,5.0,4.89,4.85,f,1.0,1.0,0.0,0.0,1.59,Copenhagen,Entire Standard,Entire,Standard,1
162,within a few hours,100%,50%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,55.66639,12.54657,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,850.0,6,30.0,6.0,8.0,30.0,30.0,6.2,30.0,t,16.0,20.0,20.0,20.0,22.0,1.0,0.0,20,1.0,12.0,10200.0,4.82,4.86,4.68,5.0,4.95,5.0,4.64,f,1.0,1.0,0.0,0.0,1.74,Copenhagen,Entire Standard,Entire,Standard,1
163,within an hour,100%,100%,t,1.0,1.0,t,Indre By,55.67424,12.59703,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1019.0,1,180.0,1.0,2.0,180.0,180.0,1.3,180.0,t,16.0,32.0,37.0,309.0,160.0,19.0,2.0,132,25.0,114.0,116166.0,4.69,4.78,4.6,4.81,4.83,4.84,4.54,t,1.0,1.0,0.0,0.0,1.81,Copenhagen,Entire Standard,Entire,Standard,1
165,within a day,100%,60%,f,1.0,2.0,f,Nørrebro,55.68737,12.54282,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,0.0,1753.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,0.0,0.0,0.0,0.0,37.0,5.0,0.0,0,3.0,30.0,52590.0,4.86,4.89,4.92,4.95,5.0,4.89,4.76,f,1.0,1.0,0.0,0.0,2.03,Copenhagen,Entire Standard,Entire,Standard,1
166,within a few hours,100%,80%,f,1.0,1.0,t,Amager Vest,55.66648,12.58271,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,1174.0,3,14.0,2.0,3.0,14.0,14.0,3.0,14.0,t,11.0,12.0,14.0,14.0,28.0,0.0,0.0,14,0.0,0.0,0.0,4.96,4.89,4.86,4.79,4.93,4.93,4.71,f,1.0,1.0,0.0,0.0,1.4,Copenhagen,Entire Standard,Entire,Standard,1
169,within an hour,100%,100%,f,1.0,1.0,t,Frederiksberg,55.68435,12.53637,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,903.0,3,20.0,2.0,5.0,20.0,20.0,2.2,20.0,t,10.0,12.0,12.0,12.0,97.0,1.0,0.0,12,1.0,6.0,5418.0,4.83,4.9,4.64,4.93,4.93,4.81,4.78,f,1.0,1.0,0.0,0.0,2.2,Copenhagen,Entire Standard,Entire,Standard,1
170,within a few hours,100%,25%,f,1.0,1.0,t,Amager Vest,55.65661,12.60687,Entire Luxury,Entire home/apt,6.0,2.0,2 baths,4.0,4.0,2500.0,4,14.0,4.0,4.0,14.0,14.0,4.0,14.0,t,7.0,7.0,9.0,12.0,15.0,1.0,0.0,12,1.0,8.0,20000.0,4.93,4.87,4.87,5.0,5.0,4.53,4.6,f,1.0,1.0,0.0,0.0,3.25,Copenhagen,Entire Luxury,Entire,Luxury,1
171,within a day,100%,24%,t,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66604,12.54313,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,665.0,5,1125.0,2.0,5.0,1125.0,1125.0,4.9,1125.0,t,0.0,12.0,21.0,95.0,74.0,8.0,2.0,60,11.0,80.0,53200.0,4.95,4.95,4.93,4.89,4.97,4.76,4.8,f,1.0,1.0,0.0,0.0,1.93,Copenhagen,Entire Standard,Entire,Standard,1
174,within an hour,100%,80%,t,3.0,3.0,t,Amager Vest,55.63363,12.58177,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,3.0,2045.0,2,31.0,1.0,2.0,31.0,31.0,2.0,31.0,t,7.0,26.0,49.0,324.0,139.0,10.0,1.0,146,10.0,60.0,122700.0,4.84,4.89,4.72,4.95,4.98,4.84,4.73,f,3.0,1.0,1.0,1.0,4.8,Copenhagen,Entire Standard,Entire,Standard,1
175,within an hour,100%,80%,t,3.0,3.0,t,Amager Vest,55.63094,12.58127,Hotel,Private room,4.0,1.0,1 shared bath,1.0,2.0,1100.0,1,14.0,1.0,1.0,14.0,14.0,1.0,14.0,t,4.0,4.0,4.0,278.0,116.0,3.0,0.0,96,6.0,18.0,19800.0,4.9,4.94,4.74,4.93,4.99,4.9,4.88,f,3.0,1.0,1.0,1.0,5.09,Copenhagen,Hotel,Hotel,Hotel,1
176,within an hour,100%,80%,t,3.0,3.0,t,Amager Vest,55.63558,12.58183,Hotel,Shared room,2.0,1.0,1 shared bath,1.0,1.0,950.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,15.0,21.0,21.0,292.0,77.0,4.0,0.0,113,6.0,24.0,22800.0,4.97,4.99,4.83,4.99,4.99,4.84,4.84,f,3.0,1.0,1.0,1.0,4.58,Copenhagen,Hotel,Hotel,Hotel,1
182,within a few hours,100%,100%,f,1.0,2.0,t,Frederiksberg,55.6875,12.51762,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,4.0,784.0,5,21.0,5.0,5.0,21.0,21.0,5.0,21.0,t,23.0,24.0,29.0,238.0,51.0,0.0,0.0,60,0.0,0.0,0.0,4.22,4.47,3.61,4.82,4.73,4.75,4.27,f,1.0,1.0,0.0,0.0,3.42,Copenhagen,Entire Standard,Entire,Standard,1
183,a few days or more,0%,0%,f,1.0,1.0,t,Østerbro,55.69802,12.58286,Entire Standard,Entire home/apt,6.0,2.0,2 baths,4.0,7.0,1628.0,6,21.0,6.0,6.0,21.0,21.0,6.0,21.0,t,30.0,40.0,65.0,328.0,5.0,0.0,0.0,150,0.0,0.0,0.0,5.0,5.0,4.4,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.6,Copenhagen,Entire Standard,Entire,Standard,1
185,within a few hours,100%,93%,t,3.0,3.0,t,Vesterbro-Kongens Enghave,55.6457,12.5276,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,400.0,15,1125.0,15.0,15.0,1125.0,1125.0,15.0,1125.0,t,12.0,24.0,54.0,54.0,9.0,1.0,0.0,54,1.0,30.0,12000.0,4.89,4.44,4.75,5.0,5.0,4.63,4.88,f,3.0,1.0,2.0,0.0,4.24,Copenhagen,Entire Standard,Entire,Standard,1
186,within an hour,100%,0%,f,1.0,2.0,t,Indre By,55.67475,12.59797,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,3.0,1943.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,29.0,59.0,89.0,364.0,5.0,0.0,0.0,185,0.0,0.0,0.0,4.0,4.5,2.75,5.0,5.0,4.5,3.5,f,1.0,1.0,0.0,0.0,1.87,Copenhagen,Entire Standard,Entire,Standard,1
187,within a day,100%,33%,f,1.0,2.0,t,Brønshøj-Husum,55.70007,12.49747,Entire Standard,Entire home/apt,5.0,2.0,2 baths,3.0,3.0,1166.0,6,14.0,6.0,6.0,14.0,14.0,6.0,14.0,t,8.0,11.0,11.0,48.0,21.0,2.0,0.0,48,1.0,24.0,27984.0,4.95,4.95,4.67,5.0,4.95,4.81,4.86,f,1.0,1.0,0.0,0.0,5.18,Copenhagen,Entire Standard,Entire,Standard,1
189,within an hour,100%,30%,f,1.0,1.0,t,Indre By,55.68551,12.56956,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,4.0,1400.0,7,1125.0,7.0,7.0,1125.0,1125.0,7.0,1125.0,t,0.0,2.0,2.0,4.0,66.0,3.0,0.0,4,3.0,42.0,58800.0,4.97,4.92,4.92,4.98,5.0,5.0,4.89,f,1.0,1.0,0.0,0.0,1.05,Copenhagen,Entire Standard,Entire,Standard,1
192,within a day,90%,23%,t,2.0,2.0,t,Frederiksberg,55.68741,12.53626,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1008.0,3,1125.0,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,20.0,26.0,40.0,40.0,108.0,4.0,2.0,40,8.0,24.0,24192.0,4.84,4.83,4.64,4.92,4.89,4.86,4.79,f,2.0,1.0,1.0,0.0,2.37,Copenhagen,Entire Standard,Entire,Standard,1
196,a few days or more,20%,0%,f,1.0,1.0,f,Indre By,55.68282,12.55976,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1092.0,5,1125.0,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,0.0,3.0,16.0,16.0,2.0,0.0,0.0,16,0.0,0.0,0.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,0.92,Copenhagen,Entire Standard,Entire,Standard,1
200,within a day,100%,44%,f,1.0,1.0,t,Nørrebro,55.69367,12.5501,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1350.0,3,100.0,3.0,3.0,100.0,100.0,3.0,100.0,t,19.0,46.0,73.0,253.0,19.0,4.0,0.0,169,4.0,24.0,32400.0,4.84,4.79,4.68,4.95,4.95,4.95,4.74,f,1.0,1.0,0.0,0.0,2.26,Copenhagen,Entire Standard,Entire,Standard,1
203,within an hour,100%,56%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.667,12.53838,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,1300.0,5,30.0,4.0,5.0,30.0,30.0,5.0,30.0,t,3.0,9.0,9.0,188.0,22.0,2.0,0.0,9,3.0,20.0,26000.0,4.8,4.86,4.64,4.95,5.0,4.62,4.81,f,1.0,1.0,0.0,0.0,2.13,Copenhagen,Entire Standard,Entire,Standard,1
204,a few days or more,10%,18%,f,1.0,3.0,t,Nørrebro,55.68917,12.56437,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1425.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,23.0,32.0,48.0,228.0,16.0,3.0,0.0,141,5.0,18.0,25650.0,4.63,4.88,4.81,4.88,4.81,4.88,4.75,f,1.0,1.0,0.0,0.0,1.47,Copenhagen,Entire Standard,Entire,Standard,1
205,within a day,80%,33%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.64638,12.54805,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,1710.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,29.0,59.0,85.0,360.0,23.0,0.0,0.0,181,1.0,0.0,0.0,4.83,4.83,4.78,4.96,4.96,4.74,4.65,f,1.0,1.0,0.0,0.0,3.54,Copenhagen,Entire Standard,Entire,Standard,1
206,within a few hours,100%,50%,f,2.0,2.0,t,Vesterbro-Kongens Enghave,55.67299082050163,12.554574382117927,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,646.0,4,14.0,4.0,4.0,14.0,14.0,4.0,14.0,t,26.0,51.0,81.0,81.0,9.0,2.0,1.0,81,0.0,16.0,10336.0,4.78,5.0,4.56,5.0,5.0,4.88,5.0,f,2.0,0.0,2.0,0.0,0.93,Copenhagen,Hotel,Hotel,Hotel,1
207,within a day,100%,95%,t,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66746,12.55341,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1343.0,4,365.0,4.0,14.0,365.0,365.0,4.1,365.0,t,1.0,1.0,2.0,90.0,95.0,14.0,0.0,2,14.0,112.0,150416.0,4.76,4.85,4.74,4.83,4.88,4.72,4.59,f,1.0,1.0,0.0,0.0,1.34,Copenhagen,Entire Standard,Entire,Standard,1
